lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunachabsolut /relativ10-25- alleStand: 25.02.2004,- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunachabsolut /relativ10-25- alleStand: 25.02.2004,- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunach,absolut /relativ,10-25- alle,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunachabsolut /relativ10-25- alleStand: 25.02.2004,- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunach,absolut /relativ,10-25- alle,Stand: 25.02.2004,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
- alle Mannschaften -BBC BayreuthTS LichtenfelsTSV Breitengüßbach1. FC Baunach,absolut /relativ,10-25- alle,Stand: 25.02.2004,,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
1.,Adler,Rudolf,BBC Bayreuth,131,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
2.,Fröhlich,Thomas,1. FC Baunach,96,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
3.,Schmidt,Joachim,BBC Bayreuth,90,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
4.,Pfister,Gerhard,1. FC Baunach,90,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
5.,Rüb,Clemens,1. FC Baunach,87,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
6.,Smith,Darryl Stephen,1. FC Baunach,69,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
7.,Schabacker,Rainer,TSV Breitengüßbach,68,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
8.,Goppert,Wolfgang,TSV Breitengüßbach,68,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
9.,Fuchs,Manfred,1. FC Baunach,67,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
10.,Picht,Herwig,TSV Breitengüßbach,56,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
11.,Kuhn,Albert,TS Lichtenfels,54,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
12.,Renner,Gerhard,BBC Bayreuth,53,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
13.,Schober,Wolfgang,TS Lichtenfels,51,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
14.,Palitza,Peter,TS Lichtenfels,50,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
15.,Pautz,Andreas,TSV Breitengüßbach,49,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
16.,Göhring,Eduard,BBC Bayreuth,48,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
