lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
1.,Cornel,Moritz,BSC Saas Bayreuth,324,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
2.,Heberlein,Marcel,Bischberg Baskets,323,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
3.,Lother,Christian,Post-SV Bamberg,304,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
4.,Müller,Markus,Regnitztal Baskets 2,301,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
5.,Gärtner,Leonard,TSV Staffelstein,278,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
6.,Kaim,Lukas,DJK Don Bosco Bamberg 2,257,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
7.,Aas,Daniel Moritz,TTL Basketball Bamberg 3,255,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
8.,Lauer,Simon,Regnitztal Baskets 2,241,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
9.,Jakob,Martin,TTL Basketball Bamberg 3,229,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
10.,Clark,Corell,SV Gundelsheim,222,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
11.,Ködel,Johannes,BBC Inviniti Bayreuth 3,221,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
12.,Jäger,Lukas Rolf,BSC Saas Bayreuth,213,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
13.,Pelikan,Nils,Post-SV Bamberg,209,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
14.,****,***,BSC Saas Bayreuth,205,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
15.,Exson,Donyell,BG Litzendorf 2,196,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
16.,Neundorfer,Maximilian Felix Thomas,TTL Basketball Bamberg 3,192,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
17.,Albert,Klaus,TSV Staffelstein,192,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
18.,Aas,Philipp,TTL Basketball Bamberg 3,191,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
19.,Zwirner,Andreas,Bischberg Baskets,189,26211,2018,Oberfranken,Bezirksoberliga,Senioren,männlich,Bezirksoberliga Herren,
